nomor_pendaftaran,JK,bidikmisi,Sekolah,Kabupaten,Provinsi,Pilihan 1,Pilihan 2,Ranking Sekolah,Nilai Mapel UN,Lulus pada Prodi,Lulus Pilihan,X1,X2,X3,X4,X5,X6,X7,X8
4180508296,P,Bidik Misi,SMAN 1 CARINGIN,Kab Bogor,Jawa Barat,KESEHATAN MASYARAKAT,Tidak Memilih,112,81.44,Tidak Lulus,Tidak Lulus,10.2,10.2,1,0,10.2,10.2,10.2,10.2
4180509065,L,Bidik Misi,MAS AL-FALAAHIYAH,Kab Sumedang,Jawa Barat,TEKNIK SIPIL ,Tidak Memilih,32,83.17,Tidak Lulus,Tidak Lulus,10.5,10.4,1,0,10.4,10.4,10.4,10.4
4180509514,P,Bidik Misi,SMKS YPC TASIKMALAYA,Kab Tasikmalaya,Jawa Barat,TEKNIK SIPIL ,Tidak Memilih,22,84.98,Tidak Lulus,Tidak Lulus,10.3,10.6,1,0,10.6,10.6,10.6,10.6
4180510378,P,Reguler,SMA RADEN FATAH CIMANGGU,Kab Cilacap,Jawa Tengah,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,Tidak Memilih,46,80.33,Tidak Lulus,Tidak Lulus,10.3,10,1,0,10,10,10,10
4180512635,P,Reguler,SMAN 1 CITEUREUP,Kab Bogor,Jawa Barat,PENDIDIKAN BAHASA INGGRIS ,Tidak Memilih,191,81.58,Tidak Lulus,Tidak Lulus,10.2,10.2,1,0,10.2,10.2,10.2,10.2
4180514491,P,Reguler,SMAN 1 SINDANGKASIH,Kab Ciamis,Jawa Barat,MANAJEMEN,Tidak Memilih,108,82.67,Tidak Lulus,Tidak Lulus,10.4,10.3,1,0,10.3,10.3,10.3,10.3
4180514745,L,Bidik Misi,MAN 3 KUNINGAN,Kab Kuningan,Jawa Barat,TEKNIK INFORMATIKA,Tidak Memilih,21,81.56,Tidak Lulus,Tidak Lulus,10.4,10.2,1,0,10.2,10.2,10.2,10.2
4180516135,P,Reguler,SMKN 1 BOJONG GEDE,Kab Bogor,Jawa Barat,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,Tidak Memilih,102,80.51,Tidak Lulus,Tidak Lulus,10.8,10.1,1,0,10.1,10.1,10.1,10.1
4180516599,P,Bidik Misi,SMAN 1 LEPAR PONGOK,Kab Bangka Selatan,Kepulauan Bangka Belitung,PENDIDIKAN MATEMATIKA,Tidak Memilih,26,82.56,Tidak Lulus,Tidak Lulus,10.5,10.3,1,0,10.3,10.3,10.3,10.3
4180516751,L,Bidik Misi,MAN 3 KUNINGAN,Kab Kuningan,Jawa Barat,AGRIBISNIS ,Tidak Memilih,21,80.2,Tidak Lulus,Tidak Lulus,10.1,10,1,0,10,10,10,10
4180337282,L,Reguler,SMK MANANGGA PRATAMA TASIKMALAYA,Kota Tasikmalaya,Jawa Barat,TEKNIK INFORMATIKA,Tidak Memilih,126,87.23,TEKNIK INFORMATIKA,pil_1,10.3,10.9,1,0,10.9,10.9,10.9,10.9
4180518583,L,Bidik Misi,SMKN RAJAPOLAH,Kab Tasikmalaya,Jawa Barat,TEKNIK INFORMATIKA,Tidak Memilih,138,85.39,Tidak Lulus,Tidak Lulus,10.6,10.7,1.1,0,10.7,10.7,10.7,10.7
4180519937,P,Reguler,SMA NEGERI 7 TAMBUN SELATAN,Kab Bekasi,Jawa Barat,PENDIDIKAN EKONOMI,Tidak Memilih,68,80.83,Tidak Lulus,Tidak Lulus,10.2,10.1,1,0,10.1,10.1,10.1,10.1
4180520355,P,Bidik Misi,MAN 3 KUNINGAN,Kab Kuningan,Jawa Barat,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,Tidak Memilih,19,82.04,Tidak Lulus,Tidak Lulus,10.3,10.3,1,0,10.3,10.3,10.3,10.3
4180520365,P,Reguler,SMAN 2 KUNINGAN,Kab Kuningan,Jawa Barat,KESEHATAN MASYARAKAT,Tidak Memilih,267,82.4,Tidak Lulus,Tidak Lulus,10.4,10.3,1,0,10.3,10.3,10.3,10.3
4180520371,P,Reguler,SMAN 1 BANJAR,Kota Banjar,Jawa Barat,PENDIDIKAN BAHASA INGGRIS ,Tidak Memilih,57,83.1,Tidak Lulus,Tidak Lulus,10.4,10.4,1,0,10.4,10.4,10.4,10.4
4180522017,P,Reguler,SMA NEGERI 1 SIDAMANIK,Kab Simalungun,Sumatera Utara,EKONOMI PEMBANGUNAN,Tidak Memilih,113,76.64,Tidak Lulus,Tidak Lulus,9.7,9.6,1,0,9.6,9.6,9.6,9.6
4180522952,L,Reguler,SMAS DWI WARNA,Kab Bogor,Jawa Barat,TEKNIK SIPIL ,Tidak Memilih,59,78.42,Tidak Lulus,Tidak Lulus,9.8,9.8,1,0,9.8,9.8,9.8,9.8
4180523096,L,Reguler,SMKN 1 MAJALENGKA,Kab Majalengka,Jawa Barat,TEKNIK INFORMATIKA,Tidak Memilih,104,82.96,Tidak Lulus,Tidak Lulus,10.9,10.4,1,0,10.4,10.4,10.4,10.4
4180524848,P,Bidik Misi,SMKN 1 MAJA,Kab Majalengka,Jawa Barat,TEKNIK INFORMATIKA,Tidak Memilih,65,82.11,Tidak Lulus,Tidak Lulus,9.8,10.3,1,0,10.3,10.3,10.3,10.3
4180525740,P,Bidik Misi,SMKS YPC TASIKMALAYA,Kab Tasikmalaya,Jawa Barat,TEKNIK SIPIL ,Tidak Memilih,22,87.19,Tidak Lulus,Tidak Lulus,10.2,10.9,1,0,10.9,10.9,10.9,10.9
4180526336,L,Reguler,SMAS ISLAM ASSYAFIIYAH 02,Kota Bekasi,Jawa Barat,TEKNIK INFORMATIKA,Tidak Memilih,76,84.91,Tidak Lulus,Tidak Lulus,10.6,10.6,1,0,10.6,10.6,10.6,10.6
