nomor_pendaftaran,JK,bidikmisi,Sekolah,Kabupaten,Provinsi,Pilihan 1,Pilihan 2,Ranking Sekolah,Nilai Mapel UN,Lulus pada Prodi,Lulus Pilihan,X1,X2,X3,X4,X5,X6,X7,X8,X9,XT,IP Sem 1,IP Sem 2,Predikat Semester 1,Predikat Semester 2
4180521990,L,Bidik Misi,SMAN 2 PEKALONGAN,Kota Pekalongan,Jawa Tengah,PENDIDIKAN GEOGRAFI,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,119,82.71,,,10.3,10.3,1.0,0.0,10.3,10.3,10.3,10.3,6.3,69.3,,,,
4180521996,P,,SMKS YAPENTOB TOBOALI,Kab Bangka Selatan,Kepulauan Bangka Belitung,PENDIDIKAN LUAR SEKOLAH,TEKNIK SIPIL ,12,78.10,PENDIDIKAN LUAR SEKOLAH,pil_1,10.3,9.8,1.0,0.0,9.8,9.8,9.8,9.8,6.3,66.4,3.2,3.13,,
4180522017,P,,SMA NEGERI 1 SIDAMANIK,Kab Simalungun,Sumatera Utara,EKONOMI PEMBANGUNAN,,113,76.64,,,9.7,9.6,1.0,0.0,9.6,9.6,9.6,9.6,7.5,66.1,,,,
4180522341,L,,SMAN 2 PADALARANG,Kab Bandung Barat,Jawa Barat,TEKNIK INFORMATIKA,TEKNIK ELEKTRO ,299,82.70,,,10.4,10.3,1.0,0.0,10.3,10.3,10.3,10.3,7.5,70.6,,,,
4180522412,P,,MAN BABAKAN CIWARINGIN,Kota Cirebon,Jawa Barat,KESEHATAN MASYARAKAT,PENDIDIKAN BIOLOGI,218,83.35,,,10.5,10.4,1.0,0.0,10.4,10.4,10.4,10.4,7.5,71.1,,,,
4180522597,L,Bidik Misi,SMAN 1 MANDIRANCAN,Kab Kuningan,Jawa Barat,MANAJEMEN,TEKNIK ELEKTRO ,168,81.61,,,10.3,10.2,1.0,0.0,10.2,10.2,10.2,10.2,6.3,68.5,,,,
4180522780,P,,MAS AL-HUDA PAMEUNGPEUK,Kab Bandung,Jawa Barat,PENDIDIKAN MATEMATIKA,AKUNTANSI,26,82.19,,,10.3,10.3,1.0,0.0,10.3,10.3,10.3,10.3,7.5,70.2,,,,
4180522844,P,,SMAN 11 GARUT,Kab Garut,Jawa Barat,AKUNTANSI,MANAJEMEN,415,80.53,,,10.4,10.1,1.0,0.0,10.1,10.1,10.1,10.1,9.4,71.1,,,,
4180522901,P,,SMAN 1 TARUMAJAYA,Kab Bekasi,Jawa Barat,AGROTEKNOLOGI ,KESEHATAN MASYARAKAT,177,79.21,,,10.0,9.9,1.0,0.0,9.9,9.9,9.9,9.9,7.5,68.0,,,,
4180522903,P,,SMAN 1 SETU,Kab Bekasi,Jawa Barat,PENDIDIKAN BIOLOGI,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,189,83.56,,,10.5,10.4,1.0,0.0,10.4,10.4,10.4,10.4,7.5,71.3,,,,
4180522952,L,,SMAS DWI WARNA,Kab Bogor,Jawa Barat,TEKNIK SIPIL ,,59,78.42,,,9.8,9.8,1.0,0.0,9.8,9.8,9.8,9.8,7.5,67.3,,,,
4180523069,P,Bidik Misi,SMAN 1 MANONJAYA,Kab Tasikmalaya,Jawa Barat,PENDIDIKAN BAHASA INGGRIS ,MANAJEMEN,132,85.33,,,10.9,10.7,1.0,0.0,10.7,10.7,10.7,10.7,10.6,75.8,,,,
4180523096,L,,SMKN 1 MAJALENGKA,Kab Majalengka,Jawa Barat,TEKNIK INFORMATIKA,,104,82.96,,,10.9,10.4,1.0,0.0,10.4,10.4,10.4,10.4,7.5,71.2,,,,
4180523306,P,Bidik Misi,SMKS NUURUL MUTTAQIIN CISURUPAN,Kab Garut,Jawa Barat,EKONOMI PEMBANGUNAN,MANAJEMEN,239,73.95,,,10.9,9.2,1.0,0.0,9.2,9.2,9.2,9.2,9.4,67.4,,,,
4180523821,L,,SMKN 5 TANGERANG,Kota Tangerang,Banten,TEKNIK INFORMATIKA,TEKNIK SIPIL ,148,77.48,,,10.9,9.7,1.0,0.0,9.7,9.7,9.7,9.7,6.3,66.5,,,,
4180524016,P,,SMAS MUHAMMADIYAH CILEUNGSI,Kab Bogor,Jawa Barat,PENDIDIKAN MATEMATIKA,AGRIBISNIS ,117,79.72,,,10.1,10.0,1.0,0.0,10.0,10.0,10.0,10.0,7.5,68.4,,,,
4180524026,P,,SMAN 6 KABUPATEN TANGERANG,Kab Tangerang,Banten,KESEHATAN MASYARAKAT,GIZI,175,81.19,,,10.3,10.1,1.0,0.0,10.1,10.1,10.1,10.1,7.5,69.5,,,,
4180524076,L,,SMAS MUHAMMADIYAH TASIKMALAYA,Kota Tasikmalaya,Jawa Barat,PENDIDIKAN EKONOMI,PENDIDIKAN GEOGRAFI,18,77.34,,,9.8,9.7,1.0,0.0,9.7,9.7,9.7,9.7,11.3,70.4,,,,
4180524655,P,,SMKN 1 RANCAH,Kab Ciamis,Jawa Barat,MANAJEMEN,EKONOMI PEMBANGUNAN,69,84.58,,,9.8,10.6,1.0,0.0,10.6,10.6,10.6,10.6,10.0,73.6,,,,
4180524848,P,Bidik Misi,SMKN 1 MAJA,Kab Majalengka,Jawa Barat,TEKNIK INFORMATIKA,,65,82.11,,,9.8,10.3,1.0,0.0,10.3,10.3,10.3,10.3,6.3,68.3,,,,
4180525006,P,,SMAN 17 JAKARTA,Kota Jakarta Barat,DKI Jakarta,PENDIDIKAN GEOGRAFI,PENDIDIKAN EKONOMI,106,81.87,,,10.4,10.2,1.0,0.0,10.2,10.2,10.2,10.2,7.5,70.0,,,,
4180525359,P,Bidik Misi,SMAN 6 GARUT,Kab Garut,Jawa Barat,KESEHATAN MASYARAKAT,PENDIDIKAN BIOLOGI,307,81.01,,,10.2,10.1,1.0,0.0,10.1,10.1,10.1,10.1,9.4,71.3,,,,
4180525740,P,Bidik Misi,SMKS YPC TASIKMALAYA,Kab Tasikmalaya,Jawa Barat,TEKNIK SIPIL ,,22,87.19,,,10.2,10.9,1.0,0.0,10.9,10.9,10.9,10.9,10.6,76.4,,,,
4180525773,P,Bidik Misi,SMA NEGERI 1 KEDUNGREJA,Kab Cilacap,Jawa Tengah,TEKNIK INFORMATIKA,TEKNIK ELEKTRO ,106,77.67,,,9.7,9.7,1.0,0.0,9.7,9.7,9.7,9.7,7.5,66.7,,,,
4180526336,L,,SMAS ISLAM ASSYAFIIYAH 02,Kota Bekasi,Jawa Barat,TEKNIK INFORMATIKA,,76,84.91,,,10.6,10.6,1.0,0.0,10.6,10.6,10.6,10.6,7.5,72.2,,,,
4180526404,P,,SMKS KESEHATAN HUSADA PRATAMA,Kota Serang,Banten,KESEHATAN MASYARAKAT,AGROTEKNOLOGI ,193,86.71,,,10.6,10.8,1.1,0.0,10.8,10.8,10.8,10.8,7.5,73.3,,,,
4180526470,P,Bidik Misi,SMAS PGRI CIBADAK,Kab Sukabumi,Jawa Barat,PENDIDIKAN BAHASA INGGRIS ,MANAJEMEN,21,80.79,,,10.3,10.1,1.0,0.0,10.1,10.1,10.1,10.1,7.5,69.3,,,,
4180526488,P,Bidik Misi,SMAN 1 BANTARUJEG,Kab Majalengka,Jawa Barat,MANAJEMEN,,144,82.28,,,10.4,10.3,1.0,0.0,10.3,10.3,10.3,10.3,7.5,70.3,,,,
4180526637,P,Bidik Misi,SMAN 1 CAMPAKA,Kab Purwakarta,Jawa Barat,TEKNIK ELEKTRO ,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,114,81.38,,,10.3,10.2,1.0,0.0,10.2,10.2,10.2,10.2,7.5,69.7,,,,
4180526667,P,Bidik Misi,SMKN 2 GARUT,Kab Garut,Jawa Barat,TEKNIK SIPIL ,,72,82.51,,,10.3,10.3,1.0,0.0,10.3,10.3,10.3,10.3,9.4,72.2,,,,
4180526841,L,,SMAN 1 CIGOMBONG,Kab Bogor,Jawa Barat,TEKNIK INFORMATIKA,,221,83.57,,,10.6,10.4,1.0,0.0,10.4,10.4,10.4,10.4,7.5,71.3,,,,
4180527286,P,,MAN 2 CIAMIS,Kab Ciamis,Jawa Barat,EKONOMI SYARIAH,ILMU POLITIK,147,78.63,,,10.0,9.8,1.0,0.0,9.8,9.8,9.8,9.8,10.0,70.2,,,,
4180527405,L,Bidik Misi,SMAN 1 MANONJAYA,Kab Tasikmalaya,Jawa Barat,EKONOMI PEMBANGUNAN,,132,84.55,,,10.8,10.6,1.0,0.0,10.6,10.6,10.6,10.6,10.6,75.2,,,,
4180527850,L,Bidik Misi,SMAN 23 KABUPATEN TANGERANG,Kab Tangerang,Banten,"PENDIDIKAN JASMANI, KESEHATAN DAN REKREASI ",PENDIDIKAN SEJARAH,141,73.75,,,9.3,9.2,1.0,0.0,9.2,9.2,9.2,9.2,7.5,63.9,,,,
4180513657,L,,SMK MANANGGA PRATAMA TASIKMALAYA,Kota Tasikmalaya,Jawa Barat,TEKNIK INFORMATIKA,PENDIDIKAN GEOGRAFI,126,87.92,TEKNIK INFORMATIKA,pil_1,10.7,11.0,1.0,0.0,11.0,11.0,11.0,11.0,11.3,77.9,4,3.5,,
4180527994,P,Bidik Misi,SMKS ISLAMIC CENTRE,Kab Cirebon,Jawa Barat,TEKNIK INFORMATIKA,MANAJEMEN,20,81.76,,,11.2,10.2,1.0,0.0,10.2,10.2,10.2,10.2,7.5,70.8,,,,
4180528139,P,,MAN RANCAH,Kab Ciamis,Jawa Barat,PENDIDIKAN MATEMATIKA,,19,83.69,,,10.4,10.5,1.0,0.0,10.5,10.5,10.5,10.5,10.0,73.7,,,,
4180528456,P,,SMAN 45 JAKARTA,Kota Jakarta Utara,DKI Jakarta,AGRIBISNIS ,PENDIDIKAN BIOLOGI,143,81.29,,,10.2,10.2,1.0,0.0,10.2,10.2,10.2,10.2,7.5,69.5,,,,
4180528819,L,,SMAN 1 KAWALI,Kab Ciamis,Jawa Barat,PENDIDIKAN EKONOMI,EKONOMI PEMBANGUNAN,185,84.02,PENDIDIKAN EKONOMI,pil_1,10.6,10.5,1.0,0.0,10.5,10.5,10.5,10.5,10.0,74.1,3.29,3.05,,
4180528942,L,Bidik Misi,MAS DAARUL ULUUM PUI MAJALENGKA,Kab Majalengka,Jawa Barat,PENDIDIKAN BAHASA INGGRIS ,ILMU POLITIK,41,87.73,,,10.9,11.0,1.1,0.0,11.0,11.0,11.0,11.0,7.5,74.3,,,,
4180529088,L,Bidik Misi,SMAN 1 ARJAWINANGUN,Kab Cirebon,Jawa Barat,PENDIDIKAN MATEMATIKA,PENDIDIKAN BIOLOGI,197,82.62,,,10.4,10.3,1.0,0.0,10.3,10.3,10.3,10.3,7.5,70.6,,,,
4180559595,P,,SMKS AS SHOFA,Kab Tasikmalaya,Jawa Barat,TEKNIK INFORMATIKA,AGROTEKNOLOGI,16,87.31,TEKNIK INFORMATIKA,pil_1,10.4,10.9,1.0,0.0,10.9,10.9,10.9,10.9,10.6,76.6,3.86,3.5,,
4180529351,P,,SMKN 1 TASIKMALAYA,Kota Tasikmalaya,Jawa Barat,MANAJEMEN,PENDIDIKAN EKONOMI,95,83.95,,,10.4,10.5,1.0,0.0,10.5,10.5,10.5,10.5,11.3,75.2,,,,
4180529388,P,,SMAN 1 SINDANGKASIH,Kab Ciamis,Jawa Barat,MANAJEMEN,ILMU POLITIK,108,84.13,,,10.5,10.5,1.0,0.0,10.5,10.5,10.5,10.5,10.0,74.1,,,,
4180530126,P,,SMAN 6 GARUT,Kab Garut,Jawa Barat,MANAJEMEN,PENDIDIKAN BAHASA INGGRIS ,182,82.28,,,10.4,10.3,1.0,0.0,10.3,10.3,10.3,10.3,9.4,72.2,,,,
4180530133,P,,SMA NEGERI 1 PURBA,Kab Simalungun,Sumatera Utara,MANAJEMEN,PENDIDIKAN EKONOMI,104,81.27,,,10.2,10.2,1.0,0.0,10.2,10.2,10.2,10.2,6.3,68.3,,,,
4180530233,P,Bidik Misi,SMAS TAMAN ISLAM,Kab Bogor,Jawa Barat,PENDIDIKAN BAHASA INGGRIS ,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,51,84.37,,,10.5,10.5,1.0,0.0,10.5,10.5,10.5,10.5,7.5,71.8,,,,
4180530326,L,,SMKN 1 KAWALI,Kab Ciamis,Jawa Barat,AKUNTANSI,TEKNIK INFORMATIKA,73,80.41,,,10.5,10.1,1.0,0.0,10.1,10.1,10.1,10.1,10.0,71.8,,,,
4180530380,L,Bidik Misi,SMKS PLUS AL HASANAH,Kab Tasikmalaya,Jawa Barat,AKUNTANSI,EKONOMI SYARIAH,42,82.93,,,10.5,10.4,1.0,0.0,10.4,10.4,10.4,10.4,10.6,74.0,,,,
4180530892,P,,SMKS BINA HUSADA MANDIRI,Kota Bekasi,Jawa Barat,AKUNTANSI,EKONOMI SYARIAH,20,82.52,,,10.5,10.3,1.1,0.0,10.3,10.3,10.3,10.3,7.5,70.7,,,,
4180531081,P,Bidik Misi,SMKS ISLAMIC CENTRE,Kab Cirebon,Jawa Barat,TEKNIK SIPIL ,EKONOMI SYARIAH,20,81.47,,,10.5,10.2,1.0,0.0,10.2,10.2,10.2,10.2,7.5,70.0,,,,
4180531612,L,,SMAN 18 GARUT,Kab Garut,Jawa Barat,MANAJEMEN,EKONOMI PEMBANGUNAN,130,79.41,,,10.0,9.9,1.0,0.0,9.9,9.9,9.9,9.9,9.4,70.0,,,,
4180531688,P,,SMKN 1 MAJALENGKA,Kab Majalengka,Jawa Barat,TEKNIK SIPIL ,AKUNTANSI,105,81.62,,,10.0,10.2,1.0,0.0,10.2,10.2,10.2,10.2,7.5,69.5,,,,
4180587463,L,,SMK MJPS 1 TASIKMALAYA,Kota Tasikmalaya,Jawa Barat,TEKNIK INFORMATIKA,PENDIDIKAN MATEMATIKA,50,84.92,TEKNIK INFORMATIKA,pil_1,10.6,10.6,1.0,0.0,10.6,10.6,10.6,10.6,11.3,75.9,,,,
4180532124,P,,SMAN 6 KABUPATEN TANGERANG,Kab Tangerang,Banten,KESEHATAN MASYARAKAT,,175,80.93,,,10.3,10.1,1.0,0.0,10.1,10.1,10.1,10.1,6.3,68.1,,,,
4180532174,P,Bidik Misi,SMAS TAMAN ISLAM,Kab Bogor,Jawa Barat,MANAJEMEN,EKONOMI SYARIAH,51,84.29,,,10.6,10.5,1.0,0.0,10.5,10.5,10.5,10.5,6.3,70.5,,,,
4180532342,L,,SMAN 94 JAKARTA,Kota Jakarta Barat,DKI Jakarta,EKONOMI PEMBANGUNAN,AGRIBISNIS ,107,81.08,,,10.2,10.1,1.0,0.0,10.1,10.1,10.1,10.1,7.5,68.4,,,,
4180532599,L,,SMAN 6 GARUT,Kab Garut,Jawa Barat,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,PENDIDIKAN SEJARAH,307,81.13,,,10.3,10.1,1.0,0.0,10.1,10.1,10.1,10.1,9.4,71.4,,,,
4180532633,L,,SMKN 4 GARUT,Kab Garut,Jawa Barat,MANAJEMEN,TEKNIK INFORMATIKA,128,81.73,,,10.3,10.2,1.0,0.0,10.2,10.2,10.2,10.2,9.4,71.7,,,,
4180532935,P,,SMAN 1 TARUMAJAYA,Kab Bekasi,Jawa Barat,MANAJEMEN,TEKNIK INFORMATIKA,177,79.23,,,10.1,9.9,1.0,0.0,9.9,9.9,9.9,9.9,7.5,68.1,,,,
4180532942,P,,MAS PERSIS 31 BANJARAN,Kab Bandung,Jawa Barat,KESEHATAN MASYARAKAT,GIZI,103,85.50,,,10.7,10.7,1.0,0.0,10.7,10.7,10.7,10.7,7.5,72.7,,,,
4180533157,L,Bidik Misi,SMAN 1 CILILIN,Kab Bandung Barat,Jawa Barat,TEKNIK SIPIL ,,246,81.34,,,10.4,10.2,1.0,0.0,10.2,10.2,10.2,10.2,6.3,68.5,,,,
4180533201,P,,SMAN 45 JAKARTA,Kota Jakarta Utara,DKI Jakarta,TEKNIK SIPIL ,TEKNIK INFORMATIKA,143,81.18,,,10.1,10.1,1.0,0.0,10.1,10.1,10.1,10.1,7.5,69.4,,,,
4180533263,P,Bidik Misi,SMKN 1 KAWALI,Kab Ciamis,Jawa Barat,AKUNTANSI,MANAJEMEN,77,82.32,,,10.1,10.3,1.0,0.0,10.3,10.3,10.3,10.3,10.0,72.6,,,,
4180533354,P,,SMKS PASIM PLUS SUKABUMI,Kota Sukabumi,Jawa Barat,PENDIDIKAN MATEMATIKA,TEKNIK INFORMATIKA,24,88.34,,,10.1,11.0,1.0,0.0,11.0,11.0,11.0,11.0,6.3,72.6,,,,
4180533508,P,,SMA NEGERI 10 DEPOK,Kota Depok,Jawa Barat,PENDIDIKAN EKONOMI,,113,80.17,,,10.1,10.0,1.0,0.0,10.0,10.0,10.0,10.0,7.5,68.7,,,,
4180533871,L,,SMAN 1 MASOHI,Kab Maluku Tengah,Maluku,TEKNIK INFORMATIKA,,106,79.14,,,10.0,9.9,1.0,0.0,9.9,9.9,9.9,9.9,7.5,67.9,,,,
4180534413,P,,SMAN 1 JATIWARAS,Kab Tasikmalaya,Jawa Barat,AKUNTANSI,MANAJEMEN,77,79.74,,,10.0,10.0,1.0,0.0,10.0,10.0,10.0,10.0,10.6,71.5,,,,
4180534775,P,Bidik Misi,SMKS KESEHATAN BHAKTI KENCANA,Kab Garut,Jawa Barat,GIZI,KESEHATAN MASYARAKAT,87,85.99,,,10.0,10.7,1.0,0.0,10.7,10.7,10.7,10.7,9.4,74.2,,,,
4180534928,P,Bidik Misi,MAS ATHORIYYAH CIKATOMAS,Kab Tasikmalaya,Jawa Barat,AGROTEKNOLOGI ,,64,82.16,,,10.4,10.3,1.0,0.0,10.3,10.3,10.3,10.3,10.6,73.4,,,,
