Kanwil;Area;Jenis;Vendor;UP;HPP;Margin;Jumlah Keping;Jumlah Gram
KANWIL JAKARTA 2;AREA CIRENDEU;ARISAN;;1656552250;1948885000;159047060;507;1890,0000
KANWIL JAKARTA 2;AREA KALIDERES;ARISAN;;603576500;710090000;52775863;284;681,0000
KANWIL JAKARTA 2;AREA KEBAYORAN BARU;ARISAN;;1110585100;1304704000;105084592;221;1257,0000
KANWIL JAKARTA 2;AREA TANGERANG;ARISAN;;148602950;174827000;12912707;102;166,0000
KANWIL JAKARTA 2;AREA TANJUNG PRIUK;ARISAN;;719208800;846128000;81432740;115;839,0000
KANWIL JAKARTA 2;AREA CIRENDEU;PEGAWAI;;190561550;206272000;10708686;30;196,5000
KANWIL JAKARTA 2;AREA KALIDERES;PEGAWAI;;116450200;131297000;6309960;23;121,0000
KANWIL JAKARTA 2;AREA KEBAYORAN BARU;PEGAWAI;;313910130;368091000;16619070;26;352,0000
KANWIL JAKARTA 2;AREA TANGERANG;PEGAWAI;;333338210;357326000;27187782;46;340,0000
KANWIL JAKARTA 2;AREA TANJUNG PRIUK;PEGAWAI;;300373750;346033000;18229374;21;332,0000
KANWIL JAKARTA 2;AREA CIRENDEU;UMUM;;19962713991;23726269716;2508183936;1585;23097,5000
KANWIL JAKARTA 2;AREA KALIDERES;UMUM;;21106054338;25378991430;3150715287;1726;24808,0000
KANWIL JAKARTA 2;AREA KEBAYORAN BARU;UMUM;;20331675939;24680671115;2977945182;1678;24029,0000
KANWIL JAKARTA 2;AREA TANGERANG;UMUM;;20177247838;24410622000;2881511622;1805;23828,5000
KANWIL JAKARTA 2;AREA TANJUNG PRIUK;UMUM;;13455591764;16011436781;1816245084;1222;15599,0000
KANWIL MAKASAR;AREA AMBON;ARISAN;;20175600;23736000;1551830;14;22,0000
KANWIL MAKASAR;AREA BANTAENG;ARISAN;;237557150;279479000;26194142;171;259,0000
KANWIL MAKASAR;AREA KENDARI;ARISAN;;70811800;83308000;4940450;24;78,0000
KANWIL MAKASAR;AREA MAKASAR 1;ARISAN;;396366900;466314000;31862496;222;434,0000
KANWIL MAKASAR;AREA MAKASAR 2;ARISAN;;480839900;565694000;47903818;155;540,0000
KANWIL MAKASAR;AREA PALOPO;ARISAN;;169569900;199494000;12096642;102;184,0000
KANWIL MAKASAR;AREA PARE-PARE;ARISAN;;306381650;360449000;24004705;195;335,0000
KANWIL MAKASAR;AREA AMBON;PEGAWAI;;98456750;106057000;5568930;10;102,0000
KANWIL MAKASAR;AREA BANTAENG;PEGAWAI;;407403620;454011000;30111216;59;432,0000
KANWIL MAKASAR;AREA KENDARI;PEGAWAI;;231294950;260002000;25721130;27;252,0000
KANWIL MAKASAR;AREA MAKASAR 1;PEGAWAI;;406196672;433209000;26804934;95;408,5000
KANWIL MAKASAR;AREA MAKASAR 2;PEGAWAI;;235821299;244298000;16245594;45;230,0000
KANWIL MAKASAR;AREA PALOPO;PEGAWAI;;375758778;416693000;29594094;56;397,0000
KANWIL MAKASAR;AREA PARE-PARE;PEGAWAI;;349393234;371648000;22189914;50;358,0000
KANWIL MAKASAR;AREA AMBON;UMUM;;3966711983;4709138000;651730650;935;4453,5000
KANWIL MAKASAR;AREA BANTAENG;UMUM;;2765515664;3321605000;406888671;683;3136,0600
KANWIL MAKASAR;AREA KENDARI;UMUM;;5480639819;6535988000;922020909;800;6211,0000
KANWIL MAKASAR;AREA MAKASAR 1;UMUM;;6359505616;7606366550;925535958;1209;7209,5600
KANWIL MAKASAR;AREA MAKASAR 2;UMUM;;6961958077;8272110000;1237994514;1202;7848,5000
