JK,bidikmisi,Sekolah,Kabupaten,Provinsi,Pilihan 1,Pilihan 2,Ranking Sekolah,Nilai Mapel UN,Lulus Pilihan,X1,X2,X3,X5,X6,X7,X8,X9,XT
1,1,629,93,6,24,27,123,79.92,0,10.4,10.0,1.0,10.0,10.0,10.0,10.0,11.3,72.6
0,0,510,11,6,9,21,12,85.2,0,10.6,10.7,1.0,10.7,10.7,10.7,10.7,7.5,72.4
0,0,472,93,6,22,21,183,80.11,0,10.2,10.0,1.0,10.0,10.0,10.0,10.0,11.3,72.5
0,0,803,93,6,9,6,24,81.13,0,10.2,10.1,1.0,10.1,10.1,10.1,10.1,11.3,73.1
0,1,731,61,6,0,2,39,88.98,1,10.2,11.1,1.1,11.1,11.1,11.1,11.1,10.6,77.5
0,0,760,61,6,9,28,67,84.5,0,10.5,10.6,1.0,10.6,10.6,10.6,10.6,10.6,74.9
0,0,78,61,6,0,26,35,87.36,1,11.0,10.9,1.0,10.9,10.9,10.9,10.9,10.6,78.1
0,0,745,9,6,9,28,35,84.73,0,10.4,10.6,1.0,10.6,10.6,10.6,10.6,7.5,71.9
0,1,211,15,6,7,5,40,81.92,0,10.4,10.2,1.0,10.2,10.2,10.2,10.2,10.0,72.6
0,0,626,61,6,10,28,35,84.85,0,10.4,10.6,1.0,10.6,10.6,10.6,10.6,10.6,75.0
0,0,29,11,6,9,28,157,80.7,0,10.2,10.1,1.0,10.1,10.1,10.1,10.1,7.5,69.1
0,0,143,16,6,25,7,145,80.65,0,10.3,10.1,1.0,10.1,10.1,10.1,10.1,6.3,67.9
1,0,456,74,4,4,5,105,83.95,0,10.7,10.5,1.0,10.5,10.5,10.5,10.5,7.5,71.6
0,1,678,93,6,10,15,143,81.38,0,10.7,10.2,1.0,10.2,10.2,10.2,10.2,11.3,73.8
0,0,417,19,6,27,9,183,81.64,0,10.3,10.2,1.0,10.2,10.2,10.2,10.2,9.4,71.7
0,0,422,45,2,4,10,234,82.86,0,10.5,10.4,1.0,10.4,10.4,10.4,10.4,7.5,70.8
0,0,742,67,6,9,7,64,83.44,0,10.5,10.4,1.0,10.4,10.4,10.4,10.4,7.5,71.2
0,0,472,93,6,7,10,187,80.86,0,10.2,10.1,1.0,10.1,10.1,10.1,10.1,11.3,73.0
1,0,298,15,6,10,4,138,83.1,0,10.5,10.4,1.0,10.4,10.4,10.4,10.4,10.0,73.4
0,1,211,15,6,15,22,38,85.29,0,10.7,10.7,1.0,10.7,10.7,10.7,10.7,10.0,75.1
0,0,177,61,6,0,2,236,85.42,1,10.8,10.7,1.0,10.7,10.7,10.7,10.7,10.6,75.8
0,1,472,93,6,4,6,187,80.48,0,10.2,10.1,1.0,10.1,10.1,10.1,10.1,11.3,72.8
0,0,298,15,6,9,21,113,85.0,0,10.8,10.6,1.0,10.6,10.6,10.6,10.6,10.0,74.9
