Kanwil,Area,Jenis,HPP,Margin,Jumlah Keping,Jumlah Gram
KANWIL_MAKASSAR,AREA_AMBON,PEGAWAI,Rendah,Rendah,Rendah,Rendah
KANWIL_MAKASSAR,AREA_BANTAENG,PEGAWAI,Rendah,Rendah,Rendah,Rendah
KANWIL_MAKASSAR,AREA_KENDARI,PEGAWAI,Rendah,Rendah,Rendah,Rendah
KANWIL_JAKARTA_2,AREA_CIRENDEU,PEGAWAI,Rendah,Rendah,Rendah,Rendah
KANWIL_JAKARTA_2,AREA_KALIDERES,PEGAWAI,Rendah,Rendah,Rendah,Rendah
KANWIL_JAKARTA_2,AREA_KEBAYORAN_BARU,PEGAWAI,Rendah,Rendah,Rendah,Rendah
KANWIL_JAKARTA_1,AREA_BEKASI,PEGAWAI,Rendah,Rendah,Rendah,Rendah
KANWIL_JAKARTA_1,AREA_BOGOR,PEGAWAI,Rendah,Rendah,Rendah,Rendah
KANWIL_JAKARTA_1,AREA_JATIWARINGIN,PEGAWAI,Rendah,Rendah,Rendah,Rendah
KANWIL_JAKARTA_1,AREA_KRAMATJATI,PEGAWAI,Rendah,Rendah,Rendah,Rendah
KANWIL_DENPASAR,AREA_AMPENAN,PEGAWAI,Rendah,Rendah,Rendah,Rendah
KANWIL_DENPASAR,AREA_DENPASAR,PEGAWAI,Rendah,Rendah,Rendah,Rendah
KANWIL_DENPASAR,AREA_DENPASAR_2,PEGAWAI,Rendah,Rendah,Rendah,Rendah
KANWIL_DENPASAR,AREA_DOMPU,PEGAWAI,Rendah,Rendah,Rendah,Rendah
KANWIL_DENPASAR,AREA_ENDE,PEGAWAI,Rendah,Rendah,Rendah,Rendah
KANWIL_DENPASAR,AREA_KUPANG,PEGAWAI,Rendah,Rendah,Rendah,Rendah
KANWIL_BALIKPAPAN,AREA_BALIKPAPAN,PEGAWAI,Rendah,Rendah,Rendah,Rendah
KANWIL_BALIKPAPAN,AREA_BANJARMASIN,PEGAWAI,Rendah,Rendah,Rendah,Rendah
KANWIL_BALIKPAPAN,AREA_PONTIANAK,PEGAWAI,Rendah,Rendah,Rendah,Rendah
KANWIL_BALIKPAPAN,AREA_SAMARINDA,PEGAWAI,Rendah,Rendah,Rendah,Rendah
