Kanwil,HPP,Margin,JumlahKeping,JumlahGram
MAKASAR KENDARI UMUM,6535988000,922020909,800,6211
MAKASAR MAKASAR 1 UMUM,7606366550,925535958,1209,7209.56
MAKASAR MAKASAR 2 UMUM,8272110000,1237994514,1202,7848.5
MAKASAR PALOPO UMUM,6193447000,671011335,1597,5851.56
MAKASAR PARE-PARE UMUM,6944157000,870227628,1521,6576.5
MAKASSAR AMBON ARISAN,134562000,7089108,48,132
MAKASSAR BANTAENG ARISAN,116104000,9910029,59,112
MAKASSAR KENDARI ARISAN,74617000,4469718,35,72
MAKASSAR MAKASAR 1 ARISAN,783691000,54230210,207,771
MAKASSAR MAKASAR 2 ARISAN,975387000,88299076,328,952
MAKASSAR PALOPO ARISAN,430491000,29368332,99,423
MAKASSAR PARE-PARE ARISAN,414460000,33735240,191,401
MAKASSAR AMBON PEGAWAI,48274000,2472222,14,47
MAKASSAR BANTAENG PEGAWAI,347970000,27672366,56,345.5
MAKASSAR KENDARI PEGAWAI,99760000,7759956,13,102
MAKASSAR MAKASAR 1 PEGAWAI,178630000,10251834,35,176
MAKASSAR MAKASAR 2 PEGAWAI,477224000,25775550,51,473.25
MAKASSAR PALOPO PEGAWAI,100072000,5661546,28,98
MAKASSAR PARE-PARE PEGAWAI,82673000,5459922,8,82
MAKASSAR AMBON UMUM,8586103000,1091762412,1156,8476
MAKASSAR BANTAENG UMUM,4988220000,618307176,700,4921
MAKASSAR KENDARI UMUM,9818034000,1390391634,944,9719
MAKASSAR MAKASAR 1 UMUM,9908084000,1183569582,1188,9787
MAKASSAR MAKASAR 2 UMUM,8638318000,1179483618,974,8544
MAKASSAR PALOPO UMUM,7450660000,842722398,1384,7324
MAKASSAR PARE-PARE UMUM,5900748000,728510571,1053,5813.5
MANADO GORONTALO ARISAN,296760000,23696034,79,283
MANADO JAYAPURA ARISAN,240129000,14963906,39,236
MANADO MANADO 1 ARISAN,696723000,48695247,164,676
MANADO MANADO 2 ARISAN,177828000,12567390,42,174
MANADO PALU ARISAN,373698000,34214644,104,366
MANADO SORONG ARISAN,457938000,37552629,89,439
MANADO GORONTALO PEGAWAI,229447000,11628876,48,221.5
MANADO JAYAPURA PEGAWAI,63817000,4310964,14,63.5
MANADO MANADO 1 PEGAWAI,792201000,59321676,174,757.56
MANADO MANADO 2 PEGAWAI,235390000,16185408,70,224.56
MANADO PALU PEGAWAI,128002000,5896518,43,116.5
MANADO SORONG PEGAWAI,159700000,7821546,47,144
MANADO GORONTALO UMUM,18704244000,1991171937,2439,18124.5
MANADO JAYAPURA UMUM,16984688000,2276939076,1514,16628.5
MANADO MANADO 1 UMUM,18607529000,1784984853,2393,18187.5
MANADO MANADO 2 UMUM,26902521000,3266798370,5555,26173.56
MANADO PALU UMUM,8040528000,946704345,1526,7751.5
MANADO SORONG UMUM,31523983000,3347101305,2939,31192
MEDAN BANDA ACEH ARISAN,392906000,28667964,148,378
MEDAN MEDAN 1 ARISAN,624022000,46370280,188,606
MEDAN MEDAN 2 ARISAN,344081000,23927308,121,334
MEDAN RANTAU PRAPAT ARISAN,472438000,47453572,97,456
MEDAN BANDA ACEH PEGAWAI,874553000,43656804,197,825.5
MEDAN MEDAN 1 PEGAWAI,654437000,36117378,54,651
MEDAN MEDAN 2 PEGAWAI,245942000,17248530,24,244
MEDAN RANTAU PRAPAT PEGAWAI,238161000,12365538,21,236
MEDAN BANDA ACEH UMUM,8690194000,1053000750,1716,8456
MEDAN MEDAN 1 UMUM,28765379000,3248112861,2980,28116
MEDAN MEDAN 2 UMUM,22179026000,2561024664,2856,21574
MEDAN RANTAU PRAPAT UMUM,17392925000,2026842744,2454,16910.5
PALEMBANG JAMBI ARISAN,684334000,46406492,300,662.5
PALEMBANG LAMPUNG ARISAN,702222000,46419558,288,668
PALEMBANG PALEMBANG ARISAN,1736311000,131786839,641,1681
PALEMBANG JAMBI PEGAWAI,3539740200,275993244,342,3491.25
PALEMBANG LAMPUNG PEGAWAI,849505000,71458944,91,830.5
PALEMBANG PALEMBANG PEGAWAI,4163086000,300176478,324,4100
PALEMBANG JAMBI UMUM,18227255540,1999835628,3347,17703.5
PALEMBANG LAMPUNG UMUM,14120760000,1424329200,1591,13741.5
PALEMBANG PALEMBANG UMUM,26242283000,2505338673,3685,25477.06
PEKANBARU BATAM ARISAN,495780000,34673175,173,481
PEKANBARU PADANG ARISAN,431009000,33428933,280,402
PEKANBARU PEKANBARU ARISAN,1792560000,170410565,212,1787
PEKANBARU BATAM PEGAWAI,379894000,17031288,113,356.56
PEKANBARU PADANG PEGAWAI,276483000,21540996,50,261.56
PEKANBARU PEKANBARU PEGAWAI,346267000,22156236,81,325.5
PEKANBARU BATAM UMUM,17415458000,1851957537,2562,16913.5
PEKANBARU PADANG UMUM,12972797000,1734494967,1741,12598
PEKANBARU PEKANBARU UMUM,19420833000,2467084662,1971,18909.5
SEMARANG PATI ARISAN,723748000,52139318,344,687
SEMARANG PURWOKERTO ARISAN,744408000,43472848,501,692.5
SEMARANG SEMARANG ARISAN,2419316000,158871220,980,2304
SEMARANG SURAKARTA ARISAN,1535383000,132361284,397,1485
SEMARANG TEGAL ARISAN,1319406000,114743641,444,1246
SEMARANG YOGYAKARTA ARISAN,777004000,46749498,380,733.5
SEMARANG PATI PEGAWAI,1043830000,57138714,192,976
SEMARANG PURWOKERTO PEGAWAI,175024000,7867122,45,165.5
SEMARANG SEMARANG PEGAWAI,987767000,56278812,199,929
SEMARANG SURAKARTA PEGAWAI,1431160000,67574688,258,1337
SEMARANG TEGAL PEGAWAI,1027964000,48931140,175,958.5
SEMARANG YOGYAKARTA PEGAWAI,2112097000,104231874,268,1974.5
SEMARANG PATI UMUM,5265703000,537479637,722,5088
SEMARANG PURWOKERTO UMUM,6970957000,617945244,1040,6743
SEMARANG SEMARANG UMUM,16450046855,2082388680,1685,15880
SEMARANG SURAKARTA UMUM,9571781000,1016988570,1060,9352.5
SEMARANG TEGAL UMUM,7007139000,699515544,1165,6742.5
SEMARANG YOGYAKARTA UMUM,17135371000,1970115396,1509,16735.25
SURABAYA JEMBER ARISAN,201972000,12241172,119,186
SURABAYA MADIUN ARISAN,1164397000,81591126,689,1097
SURABAYA MALANG ARISAN,1638488000,121409342,687,1563
SURABAYA PAMEKASAN ARISAN,1142966000,122180265,291,1121
SURABAYA PROBOLINGGO ARISAN,1242634000,100299935,544,1182
SURABAYA SURABAYA 1 ARISAN,613037000,42576962,299,587
SURABAYA SURABAYA 2 ARISAN,827290000,68646706,279,799
SURABAYA JEMBER PEGAWAI,311234000,27858930,48,301.18
SURABAYA MADIUN PEGAWAI,197454000,9038562,34,190
SURABAYA MALANG PEGAWAI,173861000,9310284,22,168
SURABAYA PAMEKASAN PEGAWAI,235914000,9596046,28,224
SURABAYA PROBOLINGGO PEGAWAI,534197000,56649600,8,520.5
SURABAYA SURABAYA 1 PEGAWAI,579894000,25077330,67,558
SURABAYA SURABAYA 2 PEGAWAI,285011000,25294596,48,272.5
SURABAYA JEMBER UMUM,4154268000,474144114,817,4012
SURABAYA MADIUN UMUM,11226060329,1233219558,2084,10856
SURABAYA MALANG UMUM,21615009184,2580918639,2511,21063
SURABAYA PAMEKASAN UMUM,3851277000,496685484,628,3744.5
SURABAYA PROBOLINGGO UMUM,4977514000,499261503,862,4831
SURABAYA SURABAYA 1 UMUM,15770028000,1882106316,1699,15345.5
SURABAYA SURABAYA 2 UMUM,12164450000,1304554329,1249,11886.5
