Tanggal,Price
2018-01-01,0.09927295836564305
2018-01-02,0.11199472938542536
2018-01-03,0.11590590631443724
2018-01-04,0.11613426074383297
2018-01-05,0.13337939290760292
2018-01-06,0.13549288603073362
2018-01-07,0.12631886829488237
2018-01-08,0.11415292167345902
2018-01-09,0.11223182930360646
2018-01-10,0.11480203128552856
2018-01-11,0.10015236584906063
2018-01-12,0.1035660216382827
2018-01-13,0.10750635019657916
2018-01-14,0.10170517596895158
2018-01-15,0.10172752555140306
2018-01-16,0.07903298215337255
2018-01-17,0.07738397165684256
2018-01-18,0.0778999554951793
2018-01-19,0.08115327732333628
2018-01-20,0.0935786734453922
2018-01-21,0.08129612030683062
2018-01-22,0.0742015854599447
2018-01-23,0.07457472631478708
2018-01-24,0.07991044619483782
2018-01-25,0.07748794580129084
2018-01-26,0.07666295469253777
2018-01-27,0.08005814778321294
2018-01-28,0.08324150570108697
2018-01-29,0.07789412516932238
2018-01-30,0.06741119927859435
2018-01-31,0.06837708992888945
2018-02-01,0.05784071938447308
2018-02-02,0.0550431346941314
2018-02-03,0.05842375197016429
2018-02-04,0.048522886944151314
2018-02-05,0.03604890477328779
2018-02-06,0.04346022065839926
2018-02-07,0.04242533781879736
2018-02-08,0.04795928877798314
2018-02-09,0.05316382632625337
2018-02-10,0.05180147351768824
2018-02-11,0.047159562414610015
2018-02-12,0.055143221954675053
2018-02-13,0.05160324243855323
2018-02-14,0.060709239706073836
2018-02-15,0.06616059438228669
2018-02-16,0.06753460784256567
2018-02-17,0.07622956713717396
2018-02-18,0.06967336571107625
2018-02-19,0.07716144755330376
2018-02-20,0.07783485018977712
2018-02-21,0.07039438267538106
2018-02-22,0.06425990815293335
2018-02-23,0.06745395500154504
2018-02-24,0.06292476353170046
2018-02-25,0.061767443849103404
2018-02-26,0.06856851896119141
2018-02-27,0.07157405194042962
2018-02-28,0.0690427187975536
2018-03-01,0.07458735868747705
2018-03-02,0.0738410769777923
2018-03-03,0.07942458570676182
2018-03-04,0.07956257008537541
2018-03-05,0.07872786176686082
2018-03-06,0.0723582307681843
2018-03-07,0.06485460139033837
2018-03-08,0.05899609562511783
2018-03-09,0.05818956721491164
2018-03-10,0.053768236773419936
2018-03-11,0.06122716698636288
2018-03-12,0.05741607731789464
2018-03-13,0.05758612848872123
2018-03-14,0.048410167310917684
2018-03-15,0.04893295319608747
2018-03-16,0.04917393999817317
2018-03-17,0.04514809999397533
2018-03-18,0.048318825539159393
2018-03-19,0.052357297916047194
2018-03-20,0.05523164856350489
2018-03-21,0.05516654325810269
2018-03-22,0.053420360663957514
2018-03-23,0.05527246084450327
2018-03-24,0.05168292355859769
2018-03-25,0.050961906594292894
2018-03-26,0.04775814253591967
2018-03-27,0.044436800239432056
2018-03-28,0.045925476774896945
2018-03-29,0.037901976674809684
2018-03-30,0.03522488538551087
2018-03-31,0.03604598961035932
2018-04-01,0.03494794490730754
2018-04-02,0.03731117032130926
2018-04-03,0.04076855355445816
2018-04-04,0.034789554388194754
2018-04-05,0.03452816144560987
2018-04-06,0.03299575746621812
2018-04-07,0.03573018029310991
